Plot,Position,Species,Moisture,RootDryMass(g),Root depth(cm),Length(cm),SurfArea(cm2),AvgDiam(mm),RootVolume(cm3),Tips,Forks,SRL(cm/g),SRA(cm2/g),RTD(g/cm3),SRTA (tips/g),Stem density (g/cm3),Stem dry mass (g),Leaf dry mass (g),Leaf area (cm2),Leaf thick 1 (mm),Leaf thick 2 (mm),Leaf thick 3 (mm),LMA (g/m2),LDMC (%),WDMC (%),RDMC (%)
43,7,SCHMOR,23.62727273,0.0187,5.57,14.4101,3.2408,0.7159,0.058,33,69,770.5935829,173.3048128,0.322413793,1764.705882,0.07989418,0.0151,0.0217,13.0383,0.113,0.109,0.103,16.64327405,0.14,0.141121495,0.194791667
43,8,INGLAU,23.62727273,1.1558,28.8,178.9582,42.2161,0.7509,0.792,349,798,154.8349195,36.52543693,1.459343434,301.9553556,0.362114943,0.7876,1.5838,190.704,0.172,0.156,0.179,83.05017199,0.368239944,0.493483709,0.440976726
43,9,MANBID,23.62727273,0.0844,6.09,14.5821,4.1588,0.9078,0.094,57,122,172.7736967,49.27488152,0.89787234,675.3554502,0.188511327,0.1165,0.2553,36.8624,0.27,0.283,0.206,69.25756326,0.302130178,0.290523691,0.330980392
43,12,PREMON,23.62727273,0.0885,10.41,46.2449,10.4009,0.7159,0.186,150,227,522.5412429,117.5242938,0.475806452,1694.915254,NA,NA,0.0887,19.5294,0.145,0.144,0.133,45.41870206,0.187130802,NA,0.244475138
43,16,TETBAL,23.62727273,0.8942,19.1,109.3733,28.3445,0.8249,0.585,291,574,122.3141355,31.69816596,1.528547009,325.4305524,0.288429054,0.3415,1.0488,187.2812,0.209,0.192,0.21,56.00134984,0.343306056,0.336453202,0.380997018
44,1,INGLAU,28.61590909,1.189,21.2,137.1672,34.1247,0.7919,0.676,320,764,115.3634987,28.70033642,1.75887574,269.1337258,0.314546839,0.413,1.286,131.7476,0.166,0.178,0.165,97.61088627,0.36409966,0.423155738,0.402232747
44,4,TETBAL,28.61590909,0.63,17.9,123.4695,24.5125,0.6319,0.387,301,817,195.9833333,38.90873016,1.627906977,477.7777778,0.346814965,0.343,0.71,103.2334,0.18,0.18,0.18,68.77619065,0.469887492,0.358786611,0.390576565
44,5,GUAGUI,28.61590909,0.2847,11.11,99.2176,25.3557,0.8135,0.516,185,489,348.4987706,89.06111697,0.551744186,649.8068142,0.251219512,0.1957,0.2657,91.624,0.159,0.151,0.161,28.99895224,0.206931464,0.302006173,0.256255626
44,6,PREMON,28.61590909,0.1493,10.17,56.452,12.5748,0.709,0.223,155,282,378.1111855,84.22505023,0.669506726,1038.178165,NA,NA,0.2625,51.1062,0.194,0.22,0.224,51.36363103,0.221893491,NA,0.306570842
44,8,INGLAU,28.61590909,0.579,20.2,170.6736,35.8535,0.6687,0.599,298,909,294.773057,61.92314335,0.966611018,514.6804836,0.372727273,0.41,0.987,145.7793,0.201,0.206,0.194,67.7050857,0.339993111,0.421377184,0.334682081
44,9,MANBID,28.61590909,0.145,7.8,33.8747,8.1281,0.7638,0.155,85,212,233.6186207,56.05586207,0.935483871,586.2068966,0.171184023,0.12,0.311,55.5554,0.22,0.295,0.192,55.98015674,0.265811966,0.285714286,0.339578454
41,11,MANBID,37.56136364,0.1648,9.92,67.3276,12.8859,0.6092,0.196,198,467,408.5412621,78.19114078,0.840816327,1201.456311,0.201217391,0.1157,0.333,NA,0.216,0.215,0.267,NA,0.296527159,0.299740933,0.296402878
44,12,PREMON,28.61590909,0.0913,18.1,55.9581,11.3662,0.6466,0.184,169,384,612.9036145,124.4928806,0.496195652,1851.040526,NA,NA,0.1207,19.3405,0.182,0.179,0.115,62.40790052,0.22310536,NA,0.268529412
44,13,MANBID,28.61590909,0.116,10.46,27.7874,6.5221,0.7471,0.122,74,153,239.5465517,56.225,0.950819672,637.9310345,0.205246914,0.133,0.313,57.7241,0.171,0.239,0.191,54.2234526,0.283001808,0.277083333,0.334293948
44,16,TETBAL,28.61590909,0.8189,18.6,97.8359,22.4155,0.7293,0.409,245,558,119.4723409,27.37269508,2.002200489,299.1818293,0.354525386,0.3212,0.6163,81.5274,0.195,0.19,0.199,75.5942174,0.443381295,0.413384813,0.438618104
45,2,TETBAL,25.85,0.563,13.3,111.6935,20.8738,0.5949,0.31,210,666,198.3898757,37.07602131,1.816129032,373.0017762,0.471956224,0.69,0.931,126.3378,0.16,0.187,0.195,73.69132595,0.447811448,0.445448677,0.428462709
45,3,MANBID,25.85,0.049,9.44,24.3821,5.0483,0.6591,0.083,78,105,497.5938776,103.0265306,0.590361446,1591.836735,0.196868009,0.088,0.166,27.8249,0.292,0.287,0.19,59.65879482,0.282312925,0.265861027,0.284883721
45,4,INGLAU,25.85,0.393,30.5,88.7539,17.7651,0.6371,0.283,198,492,225.8368957,45.20381679,1.38869258,503.8167939,0.407749077,0.221,0.466,90.043,0.143,0.131,0.135,51.75305132,0.406631763,0.490022173,0.455916473
45,7,SCHMOR,25.85,0.0522,5.15,11.6556,3.7474,1.0234,0.096,43,86,223.2873563,71.78927203,0.54375,823.7547893,0.116355811,0.0811,0.0727,46.3133,0.119,0.124,0.114,15.69743465,0.161915368,0.227808989,0.232
45,8,MANBID,25.85,0.142,8.32,27.8991,7.5862,0.8655,0.164,74,162,196.4725352,53.42394366,0.865853659,521.1267606,0.259581882,0.149,0.263,41.4812,0.26,0.258,0.194,63.40221594,0.313842482,0.313684211,0.349753695
45,9,PREMON,25.85,0.106,7.21,25.8503,6.6263,0.8159,0.135,104,156,243.8707547,62.51226415,0.785185185,981.1320755,NA,NA,0.142,27.0725,0.142,0.151,0.133,52.45174993,0.216133942,NA,0.235555556
