"","Plot","Position","Treatment","Species","Start_LA","Moisture","Densiometer","Status","Days"
"92",6,12,"Drought","MANBID",15.34,16.022727,9.36,1,195
"93",6,13,"Drought","CECSCH",3.1,16.022727,9.36,1,32
"94",6,14,"Drought","PREMON",11.71,16.022727,9.36,1,228
"95",6,15,"Drought","CECSCH",3.8,16.022727,9.36,1,17
"96",6,16,"Drought","PREMON",10.44,16.022727,9.36,1,161
"97",7,1,"Control","TETBAL",67.9,33.768182,14.3,0,228
"98",7,2,"Control","INGLAU",83.27,33.768182,14.3,0,228
"99",7,3,"Control","SCHMOR",11.32,33.768182,14.3,1,83
"100",7,4,"Control","GUAGUI",32.46,33.768182,14.3,0,228
"101",7,5,"Control","GUAGUI",28.32,33.768182,14.3,0,228
"102",7,6,"Control","SCHMOR",14.87,33.768182,14.3,0,228
"103",7,7,"Control","TETBAL",43.98,33.768182,14.3,0,228
"104",7,8,"Control","UREBAC",5.11,33.768182,14.3,1,141
"105",7,9,"Control","UREBAC",4.95,33.768182,14.3,1,136
"106",7,10,"Control","INGLAU",101.92,33.768182,14.3,0,228
"107",7,11,"Control","MANBID",16.15,33.768182,14.3,0,228
"108",7,12,"Control","MANBID",11.71,33.768182,14.3,0,228
"109",7,13,"Control","CECSCH",3.1,33.768182,14.3,1,172
"110",7,14,"Control","PREMON",9.53,33.768182,14.3,1,195
"111",7,15,"Control","CECSCH",3.8,33.768182,14.3,1,59
"112",7,16,"Control","PREMON",10.99,33.768182,14.3,1,228
"113",8,1,"Drought","MANBID",14.13,16.365909,2.86,0,228
"114",8,2,"Drought","SCHMOR",9.86,16.365909,2.86,1,8
"115",8,3,"Drought","INGLAU",85.57,16.365909,2.86,0,228
"116",8,4,"Drought","SCHMOR",17.14,16.365909,2.86,0,228
"117",8,5,"Drought","GUAGUI",20.67,16.365909,2.86,0,228
"118",8,6,"Drought","PREMON",5.63,16.365909,2.86,1,228
"119",8,7,"Drought","CECSCH",4.36,16.365909,2.86,1,35
"120",8,8,"Drought","CECSCH",3.52,16.365909,2.86,1,32
"121",8,9,"Drought","TETBAL",70.37,16.365909,2.86,1,94
"122",8,10,"Drought","GUAGUI",22.95,16.365909,2.86,1,228
"123",8,11,"Drought","PREMON",8.63,16.365909,2.86,0,228
"124",8,12,"Drought","UREBAC",3.03,16.365909,2.86,0,228
"125",8,13,"Drought","UREBAC",5.75,16.365909,2.86,1,32
"126",8,14,"Drought","MANBID",14.74,16.365909,2.86,0,228
"127",8,15,"Drought","TETBAL",72.85,16.365909,2.86,0,228
"128",8,16,"Drought","INGLAU",65,16.365909,2.86,0,228
"129",9,1,"Control","TETBAL",67.08,43.534091,8.06,1,83
"130",9,2,"Control","MANBID",17.57,43.534091,8.06,0,228
"131",9,3,"Control","TETBAL",57.45,43.534091,8.06,0,228
"132",9,4,"Control","GUAGUI",26.05,43.534091,8.06,0,228
"133",9,5,"Control","CECSCH",6.9,43.534091,8.06,1,24
"134",9,6,"Control","SCHMOR",15.36,43.534091,8.06,1,46
"135",9,7,"Control","MANBID",18.17,43.534091,8.06,0,228
"136",9,8,"Control","UREBAC",4.15,43.534091,8.06,1,172
"137",9,9,"Control","PREMON",6.36,43.534091,8.06,0,228
"138",9,10,"Control","CECSCH",7.88,43.534091,8.06,1,8
"139",9,11,"Control","PREMON",9.26,43.534091,8.06,0,228
"140",9,12,"Control","INGLAU",103.46,43.534091,8.06,0,228
"141",9,13,"Control","INGLAU",82.3,43.534091,8.06,0,228
"142",9,14,"Control","GUAGUI",24.6,43.534091,8.06,0,228
"143",9,15,"Control","UREBAC",3.19,43.534091,8.06,1,32
"144",9,16,"Control","SCHMOR",13.58,43.534091,8.06,1,8
"145",10,1,"Drought","MANBID",17.16,14.488636,8.32,0,228
"146",10,2,"Drought","TETBAL",64.05,14.488636,8.32,0,228
"147",10,3,"Drought","UREBAC",2.39,14.488636,8.32,1,109
"148",10,4,"Drought","UREBAC",2.55,14.488636,8.32,1,195
"149",10,5,"Drought","CECSCH",2.25,14.488636,8.32,1,53
"150",10,6,"Drought","TETBAL",82.74,14.488636,8.32,1,17
"151",10,7,"Drought","CECSCH",2.67,14.488636,8.32,1,59
"152",10,8,"Drought","INGLAU",80,14.488636,8.32,0,228
"153",10,9,"Drought","INGLAU",122.5,14.488636,8.32,0,228
"154",10,10,"Drought","PREMON",8.26,14.488636,8.32,1,179
"155",10,11,"Drought","GUAGUI",31.21,14.488636,8.32,0,228
"156",10,12,"Drought","MANBID",16.15,14.488636,8.32,0,228
"157",10,13,"Drought","SCHMOR",11.8,14.488636,8.32,0,228
"158",10,14,"Drought","PREMON",17.98,14.488636,8.32,1,136
"159",10,15,"Drought","GUAGUI",36.38,14.488636,8.32,0,228
"160",10,16,"Drought","SCHMOR",7.11,14.488636,8.32,0,228
"161",11,1,"Drought","CECSCH",12.67,27.552273,10.14,1,53
"162",11,2,"Drought","PREMON",7.99,27.552273,10.14,0,228
"163",11,3,"Drought","CECSCH",3.8,27.552273,10.14,1,8
"164",11,4,"Drought","INGLAU",56.92,27.552273,10.14,0,228
"165",11,5,"Drought","PREMON",16.43,27.552273,10.14,1,195
"166",11,6,"Drought","UREBAC",3.19,27.552273,10.14,1,53
"167",11,7,"Drought","INGLAU",112.5,27.552273,10.14,0,228
"168",11,8,"Drought","SCHMOR",13.42,27.552273,10.14,0,228
"169",11,9,"Drought","UREBAC",3.19,27.552273,10.14,1,87
"170",11,10,"Drought","TETBAL",51.96,27.552273,10.14,0,228
"171",11,11,"Drought","MANBID",15.55,27.552273,10.14,0,228
"172",11,12,"Drought","GUAGUI",31.21,27.552273,10.14,0,228
"173",11,13,"Drought","MANBID",18.78,27.552273,10.14,0,228
"174",11,14,"Drought","GUAGUI",34.52,27.552273,10.14,0,228
"175",11,15,"Drought","SCHMOR",10.99,27.552273,10.14,0,228
"176",11,16,"Drought","TETBAL",56.9,27.552273,10.14,1,8
"177",12,1,"Control","GUAGUI",28.32,36.618182,5.72,0,228
"178",12,2,"Control","GUAGUI",25.84,36.618182,5.72,0,228
"179",12,3,"Control","MANBID",17.16,36.618182,5.72,0,228
"180",12,4,"Control","SCHMOR",14.71,36.618182,5.72,0,228
"181",12,5,"Control","UREBAC",3.35,36.618182,5.72,0,228
"182",12,6,"Control","SCHMOR",10.51,36.618182,5.72,0,228
"183",12,7,"Control","CECSCH",1.69,36.618182,5.72,1,8
"184",12,8,"Control","TETBAL",92.92,36.618182,5.72,0,228
"185",12,9,"Control","PREMON",1.91,36.618182,5.72,1,202
"186",12,10,"Control","CECSCH",3.24,36.618182,5.72,1,228
"187",12,11,"Control","UREBAC",3.51,36.618182,5.72,0,228
"188",12,12,"Control","INGLAU",89.8,36.618182,5.72,0,228
"189",12,13,"Control","TETBAL",66.8,36.618182,5.72,0,228
"190",12,14,"Control","MANBID",15.75,36.618182,5.72,0,228
"191",12,15,"Control","PREMON",4.81,36.618182,5.72,0,228
"192",12,16,"Control","INGLAU",77.3,36.618182,5.72,0,228
"193",13,1,"Drought","GUAGUI",36.59,16.781818,9.62,0,228
"194",13,2,"Drought","TETBAL",72.57,16.781818,9.62,0,228
"195",13,3,"Drought","MANBID",14.13,16.781818,9.62,0,228
"196",13,4,"Drought","SCHMOR",13.58,16.781818,9.62,1,136
