Plot,Position,Species,Moisture,d15N_RAW,%N,d13C_RAW,%C,d15N_NORMALIZED,d13C_ NORMALIZED,Ci_Lambers,iWUE_Lambers
8,5,GUAGUI,16.2,2.822,2.78,3.462,45.98,2.7,-37.2,438.2297301,-18.89358134
8,11,PREMON,16.2,0.726,1.45,6.993,42.97,0.6,-33.7,375.5752958,20.26544015
8,15,TETBAL,16.2,3.175,1.42,6.525,45.27,3,-34.2,383.8795368,15.07528947
9,3,TETBAL,43.1,2.178,1.4,7.292,45,2,-33.4,370.2698084,23.58136975
9,7,MANBID,43.1,2.365,1.4,7.308,44.52,2.2,-33.4,369.9859027,23.7588108
9,9,PREMON,43.1,1.699,1.26,10.059,43.43,1.5,-30.7,321.1718701,54.26758116
9,13,INGLAU,43.1,0.864,2.68,5.949,46.76,0.7,-34.7,394.1001413,8.687411707
9,14,GUAGUI,43.1,2.627,2.61,3.749,45.11,2.5,-36.9,433.137172,-15.71073253
10,1,MANBID,14.4,1.425,1.35,11.138,45.37,1.3,-29.6,302.034853,66.22821687
10,2,TETBAL,14.4,1.805,1.66,7.915,53.45,1.7,-32.9,360.7671898,29.52050635
10,8,INGLAU,14.4,0.353,2.75,6.241,53.48,0.2,-34.5,390.3795272,11.01279547
10,15,GUAGUI,14.4,3.695,4.22,6.378,60.05,3.6,-34.4,387.9560564,12.52746476
10,13,SCHMOR,14.4,1.927,2.07,6.384,47.06,1.8,-34.4,387.849919,12.59380064
12,2,GUAGUI,36.6,2.632,2.98,3.52,49.17,2.5,-37.2,438.5128427,-19.07052669
12,6,SCHMOR,36.6,0.696,2.09,4.06,44.56,0.5,-36.7,428.9604758,-13.10029737
12,13,TETBAL,36.6,1.253,1.06,7.547,48.64,1.1,-33.2,367.276951,25.45190563
12,14,MANBID,36.6,-0.016,1.33,9.122,51.5,-0.2,-31.7,339.4158809,42.86507447
12,15,PREMON,36.6,2.517,1.49,8.079,45.54,2.4,-32.7,357.8661006,31.3336871
12,16,INGLAU,36.6,0.808,3.1,6.087,52.36,0.6,-34.7,393.1037208,9.31017452
13,1,GUAGUI,16.8,2.803,3.35,5.811,51.88,2.7,-34.9,397.9948864,6.253195991
13,2,TETBAL,16.8,1.344,1.4,7.775,46.83,1.2,-33,363.2437294,27.97266912
13,3,MANBID,16.8,0.778,1.59,8.563,51.39,0.6,-32.2,349.3043496,36.68478153
13,10,PREMON,16.8,0.353,1.52,10.905,45.69,0.2,-30,307.8753805,62.57788719
14,8,INGLAU,36.9,0.327,2.33,5.48,51.13,0.1,-35.3,403.8412888,2.599194531
14,10,PREMON,36.9,1.142,1.22,9.645,43.17,1,-31.2,330.1642366,48.64735212
14,11,MANBID,36.9,1.33,1.26,9.101,51.74,1.2,-31.7,339.7873618,42.63289888
14,12,TETBAL,36.9,0.337,0.89,5.964,45.61,0.2,-34.8,395.2795377,7.950288954
14,15,GUAGUI,36.9,1.399,2.78,4.668,53.25,1.2,-36.1,418.2052182,-6.378261402
14,16,SCHMOR,36.9,1.053,1.63,5.209,43.81,0.9,-35.5,408.6351618,-0.396976107
16,8,PREMON,23.6,2.379,1.63,5.725,44.22,2.2,-35,399.5073445,5.307909683
18,1,MANBID,15.2,1.068,1.32,11.086,51.82,0.9,-29.8,304.6824134,64.57349161
18,8,SCHMOR,15.2,2.92,1.65,6.153,47.16,2.8,-34.6,391.9362093,10.03986921
18,11,INGLAU,15.2,1.229,2.79,7.741,48.54,1.1,-33.1,363.8451747,27.59676579
19,6,INGLAU,40.9,-0.807,2.86,5.805,49.85,-1,-35,398.092179,6.1923881
19,9,GUAGUI,40.9,2.109,2.53,3.265,42.93,2,-37.4,443.0236826,-21.88980164
19,12,PREMON,40.9,2.075,1.31,8.745,40.73,1.9,-32.1,346.0848481,38.69696993
19,15,TETBAL,40.9,0.384,1.57,7.383,44.34,0.2,-33.4,370.1780402,23.63872488
19,16,MANBID,40.9,0.57,1.51,9.992,49.7,0.4,-30.8,324.0259564,52.48377725
20,8,SCHMOR,35.1,1.38,2.84,4.062,63.71,1.2,-36.7,428.9250967,-13.07818541
23,3,INGLAU,13.8,3.046,2.75,7.211,51.26,2.9,-33.6,373.220646,21.73709628
6,7,TETBAL,15.8,-0.991,1.79,6.554,43.55,-1.2,-34.2,384.8426924,14.47331728
24,1,SCHMOR,13,0.858,2.21,7.573,48.86,0.7,-33.2,366.825867,25.73383313
24,4,TETBAL,13,1.847,1.56,7.396,46.62,1.1,-33.5,372.3295128,22.29405449
